"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2026-5-3","681.61","674.66","682.77","668.90","71.64M","1.11%"
"2026-4-26","674.15","663.40","675.97","653.81","178.38M","1.55%"
"2026-4-19","663.88","648.04","664.51","642.21","199.75M","2.32%"
"2026-4-12","648.85","609.48","650.00","608.11","228.81M","6.18%"
"2026-4-5","611.07","586.23","613.67","578.40","220.02M","4.46%"
"2026-3-29","584.98","567.38","587.74","555.60","296.86M","3.98%"
"2026-3-22","562.58","590.52","595.08","561.57","372.36M","-3.35%"
"2026-3-15","582.06","600.04","605.90","578.54","319.87M","-1.96%"
"2026-3-8","593.72","594.22","613.29","591.33","352.24M","-1.01%"
"2026-3-1","599.75","598.86","612.88","591.87","419.13M","-1.24%"
"2026-2-22","607.29","606.60","616.83","599.05","338.90M","-0.25%"
"2026-2-15","608.81","598.38","610.35","593.34","268.35M","1.14%"
"2026-2-8","601.92","607.54","617.52","596.42","319.93M","-1.27%"
"2026-2-1","609.65","618.70","629.98","594.76","379.48M","-1.97%"
"2026-1-25","621.87","623.21","636.60","618.27","271.27M","-0.14%"
"2026-1-18","622.72","610.53","625.40","607.05","247.73M","0.23%"
"2026-1-11","621.26","622.31","630.00","614.56","269.46M","-0.86%"
"2026-1-4","626.65","619.32","627.94","616.72","234.97M","2.21%"
"2025-12-28","613.12","620.10","622.85","610.15","166.29M","-1.73%"
"2025-12-21","623.89","621.35","625.52","617.77","132.25M","1.11%"
"2025-12-14","617.05","618.37","618.42","600.28","314.59M","0.56%"
"2025-12-7","613.62","627.21","629.21","611.36","269.08M","-1.90%"
"2025-11-30","625.48","613.63","628.92","612.52","244.02M","1.01%"
"2025-11-23","619.25","595.28","619.32","595.16","183.16M","4.95%"
"2025-11-16","590.07","606.30","614.03","580.74","441.38M","-3.09%"
"2025-11-9","608.86","618.92","624.86","597.17","299.65M","-0.14%"
"2025-11-2","609.74","635.11","635.82","598.67","303.62M","-3.07%"
"2025-10-26","629.07","624.52","637.01","624.03","310.65M","1.94%"
"2025-10-19","617.10","607.14","618.42","599.74","242.26M","2.18%"
"2025-10-12","603.93","599.68","608.31","590.13","340.89M","2.45%"
"2025-10-5","589.50","608.45","613.18","589.05","293.97M","-2.27%"
"2025-9-28","603.18","599.11","607.33","596.10","232.01M","1.21%"
"2025-9-21","595.97","597.74","602.87","588.50","296.90M","-0.56%"
"2025-9-14","599.35","588.44","600.05","584.36","269.95M","2.16%"
"2025-9-7","586.66","578.37","587.86","577.04","235.18M","1.84%"
"2025-8-31","576.06","561.31","581.12","559.53","235.98M","0.99%"
"2025-8-24","570.40","570.40","578.00","568.54","207.89M","-0.27%"
"2025-8-17","571.97","576.44","577.77","558.84","258.30M","-0.93%"
"2025-8-10","577.34","574.69","583.32","571.57","211.50M","0.49%"
"2025-8-3","574.55","559.05","574.77","558.95","217.88M","3.73%"
"2025-7-27","553.88","567.74","574.63","551.68","254.41M","-2.21%"
"2025-7-20","566.37","562.09","567.70","558.61","195.99M","0.91%"
"2025-7-13","561.26","553.99","564.73","551.56","222.95M","1.27%"
"2025-7-6","554.20","553.52","557.63","549.58","198.88M","-0.36%"
"2025-6-29","556.22","551.26","557.20","544.66","164.70M","1.48%"
"2025-6-22","548.09","526.81","549.99","523.65","242.30M","4.04%"
"2025-6-15","526.83","530.50","535.37","524.88","185.43M","-0.02%"
"2025-6-8","526.96","530.14","536.78","525.73","217.97M","-0.56%"
"2025-6-1","529.92","517.24","533.05","515.97","233.95M","2.08%"
"2025-5-25","519.11","516.15","526.48","511.93","220.25M","1.94%"
"2025-5-18","509.24","514.24","523.00","505.58","280.32M","-2.35%"
"2025-5-11","521.51","506.99","521.93","501.48","243.92M","6.87%"
"2025-5-4","487.97","484.60","492.70","476.78","166.55M","-0.18%"
"2025-4-27","488.83","473.03","490.91","462.43","193.51M","3.44%"
"2025-4-20","472.56","438.23","473.09","427.93","236.91M","6.41%"
"2025-4-13","444.10","464.46","465.05","437.76","173.16M","-2.27%"
"2025-4-6","454.40","408.66","467.83","402.39","566.55M","7.51%"
"2025-3-30","422.67","461.92","479.56","422.67","331.60M","-9.87%"
"2025-3-23","468.94","487.74","493.62","468.05","175.48M","-2.47%"
"2025-3-16","480.84","479.61","485.84","472.41","200.26M","0.25%"
"2025-3-9","479.66","483.45","483.97","466.43","282.53M","-2.47%"
"2025-3-2","491.79","511.52","513.04","480.53","271.08M","-3.22%"
"2025-2-23","508.17","527.88","529.07","496.93","222.77M","-3.40%"
"2025-2-16","526.08","539.73","540.81","525.71","113.88M","-2.24%"
"2025-2-9","538.15","527.22","538.84","521.95","111.77M","2.91%"
"2025-2-2","522.92","513.47","532.10","511.05","136.80M","0.12%"
"2025-1-26","522.29","511.00","531.52","510.15","186.89M","-1.39%"
"2025-1-19","529.63","524.48","533.82","520.06","100.20M","1.51%"
"2025-1-12","521.74","501.20","524.07","499.70","180.46M","2.87%"
"2025-1-5","507.19","524.02","527.92","503.92","144.11M","-2.20%"
"2024-12-29","518.58","515.51","519.65","505.71","129.15M","-0.76%"
"2024-12-22","522.56","519.55","531.24","516.13","100.21M","0.75%"
"2024-12-15","518.66","533.08","539.15","509.29","222.23M","-2.24%"
"2024-12-8","530.53","525.55","533.17","519.16","129.55M","0.77%"
"2024-12-1","526.48","511.01","526.72","510.62","111.76M","3.28%"
"2024-11-24","509.74","509.90","511.45","501.93","93.22M","0.78%"
"2024-11-17","505.79","498.13","506.96","496.55","139.64M","1.86%"
"2024-11-10","496.57","515.37","515.58","494.49","154.71M","-3.42%"
"2024-11-3","514.14","486.82","514.92","484.26","146.50M","5.48%"
"2024-10-27","487.43","498.46","501.35","483.75","153.15M","-1.59%"
"2024-10-20","495.32","493.25","500.28","485.05","157.16M","0.17%"
"2024-10-13","494.47","495.77","498.83","487.57","136.39M","0.22%"
"2024-10-6","493.36","485.39","494.47","480.87","124.64M","1.24%"
"2024-9-29","487.32","485.78","488.41","477.40","152.89M","0.12%"
"2024-9-22","486.75","482.95","493.70","480.17","132.22M","0.89%"
"2024-9-15","482.44","473.19","486.23","469.89","179.94M","1.49%"
"2024-9-8","475.34","453.06","476.53","449.82","189.79M","5.94%"
"2024-9-1","448.69","473.20","473.33","448.19","162.57M","-5.79%"
"2024-8-25","476.27","479.45","480.38","467.89","166.88M","-0.78%"
"2024-8-18","480.00","475.17","485.54","473.37","152.41M","1.05%"
"2024-8-11","475.03","451.39","476.41","448.55","179.28M","5.47%"
"2024-8-4","450.41","424.71","452.06","423.45","287.04M","0.37%"
"2024-7-28","448.75","465.71","475.55","444.47","237.06M","-3.07%"
"2024-7-21","462.97","481.16","484.43","455.63","221.65M","-2.58%"
"2024-7-14","475.24","496.61","501.01","473.94","204.76M","-3.96%"
"2024-7-7","494.82","496.53","503.52","490.73","162.93M","-0.27%"
"2024-6-30","496.16","480.04","496.60","476.26","98.18M","3.56%"
"2024-6-23","479.11","478.18","487.20","473.82","150.84M","-0.22%"
"2024-6-16","480.18","479.46","486.86","478.14","134.84M","0.21%"
"2024-6-9","479.19","461.82","479.26","461.53","126.54M","3.51%"
"2024-6-2","462.96","454.57","465.74","447.90","138.38M","2.72%"
"2024-5-26","450.71","459.18","459.74","443.05","142.61M","-1.58%"
"2024-5-19","457.95","451.98","460.58","451.79","143.33M","1.37%"
"2024-5-12","451.76","443.99","454.69","441.65","169.52M","2.19%"
"2024-5-5","442.06","437.30","444.31","436.52","137.82M","1.51%"
"2024-4-28","435.48","433.13","436.48","420.63","211.01M","1.04%"
"2024-4-21","431.00","417.31","432.55","413.94","239.90M","3.94%"
"2024-4-14","414.65","442.06","442.15","413.07","289.73M","-5.39%"
"2024-4-7","438.27","441.41","446.33","436.28","228.31M","-0.50%"
"2024-3-31","440.47","444.97","447.53","435.11","234.95M","-0.80%"
"2024-3-24","444.01","443.55","447.23","441.93","140.13M","-0.53%"
"2024-3-17","446.38","438.73","449.34","433.33","201.58M","2.87%"
"2024-3-10","433.92","437.51","444.02","432.74","264.36M","-1.16%"
"2024-3-3","439.02","445.61","448.64","433.65","255.10M","-1.48%"
"2024-2-25","445.61","437.60","446.58","434.30","186.04M","2.02%"
"2024-2-18","436.78","428.55","440.59","421.63","197.92M","1.44%"
"2024-2-11","430.57","436.94","439.14","425.33","235.30M","-1.48%"
"2024-2-4","437.05","429.07","437.85","425.00","180.28M","1.87%"
"2024-1-28","429.01","424.27","430.24","416.79","250.06M","1.23%"
"2024-1-21","423.81","423.41","429.85","420.57","206.34M","0.62%"
"2024-1-14","421.18","408.31","421.34","402.92","228.18M","2.84%"
"2024-1-7","409.56","397.99","411.25","397.84","209.70M","3.23%"
"2023-12-31","396.75","405.84","406.09","395.34","189.38M","-3.12%"
"2023-12-24","409.52","409.04","412.92","407.58","124.39M","0.33%"
"2023-12-17","408.17","404.72","410.25","402.69","216.25M","0.75%"
"2023-12-10","405.13","391.53","406.33","391.32","254.17M","3.36%"
"2023-12-3","391.96","385.89","392.41","382.46","232.40M","0.57%"
"2023-11-26","389.73","388.81","393.93","385.62","201.77M","0.11%"
"2023-11-19","389.31","385.85","392.86","385.85","147.77M","0.90%"
"2023-11-12","385.84","376.59","387.55","375.04","254.63M","2.02%"
"2023-11-5","378.19","368.30","378.34","366.72","237.52M","2.90%"
"2023-10-29","367.52","347.65","368.83","346.27","273.41M","6.49%"
"2023-10-22","345.13","353.08","359.72","342.17","321.04M","-2.62%"
"2023-10-15","354.41","366.43","370.29","354.18","294.32M","-2.92%"
"2023-10-8","365.09","362.11","373.54","360.59","232.60M","0.16%"
"2023-10-1","364.51","358.35","365.72","353.09","287.84M","1.79%"
"2023-9-24","358.08","356.74","362.76","351.18","270.18M","0.10%"
"2023-9-17","357.72","369.13","371.60","357.40","241.36M","-3.48%"
"2023-9-10","370.61","375.46","378.07","369.67","245.48M","-0.48%"
"2023-9-3","372.38","376.57","379.11","368.96","163.25M","-1.33%"
"2023-8-27","377.39","366.80","380.63","364.06","216.67M","3.73%"
"2023-8-20","363.83","359.43","372.54","358.39","283.88M","1.64%"
"2023-8-13","357.94","365.24","370.28","354.52","264.66M","-2.21%"
"2023-8-6","366.05","373.68","375.09","364.50","253.85M","-1.56%"
"2023-7-30","371.85","383.59","384.68","371.33","267.57M","-2.98%"
"2023-7-23","383.28","376.42","384.51","374.14","247.19M","2.09%"
"2023-7-16","375.43","379.60","387.78","374.99","282.75M","-0.91%"
"2023-7-9","378.87","365.77","382.66","363.22","250.52M","3.50%"
"2023-7-2","366.05","369.88","371.82","364.33","150.40M","-0.86%"
"2023-6-25","369.23","361.81","370.30","357.40","253.48M","1.90%"
"2023-6-18","362.35","365.76","368.13","360.03","199.11M","-1.46%"
"2023-6-11","367.74","356.00","372.65","355.01","323.51M","3.79%"
"2023-6-4","354.31","354.24","357.47","348.00","258.23M","-0.04%"
"2023-5-28","354.46","352.52","355.64","346.33","241.62M","1.79%"
"2023-5-21","348.22","336.07","349.06","329.39","283.99M","3.53%"
"2023-5-14","336.33","325.34","338.03","323.79","246.65M","3.53%"
"2023-5-7","324.86","322.25","327.00","321.15","221.39M","0.66%"
"2023-4-30","322.72","321.92","323.59","314.95","259.44M","0.10%"
"2023-4-23","322.39","316.21","322.48","309.73","281.71M","1.88%"
"2023-4-16","316.44","317.98","321.25","313.93","250.18M","-0.62%"
"2023-4-9","318.40","314.90","320.19","312.40","258.95M","0.16%"
"2023-4-2","317.88","318.60","321.46","312.66","202.71M","-0.90%"
"2023-3-26","320.76","311.44","321.00","304.61","272.64M","3.23%"
"2023-3-19","310.73","304.10","315.08","301.85","313.73M","1.81%"
"2023-3-12","305.20","286.58","308.99","285.04","442.84M","5.83%"
"2023-3-5","288.40","300.78","303.84","287.23","343.62M","-3.71%"
